red=2723, ir=40746, green=718, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.308981

red=2722, ir=40752, green=719, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.319882

red=2715, ir=40741, green=707, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.333721

red=2713, ir=40751, green=718, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.342707

red=2716, ir=40759, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.353314

red=2720, ir=40742, green=722, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.363619

red=2700, ir=40737, green=717, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.374501

red=2703, ir=40741, green=706, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.386225

red=2702, ir=40759, green=709, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.396647

red=2711, ir=40735, green=719, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.407661

red=2701, ir=40736, green=718, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.419266

red=2723, ir=40743, green=699, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.430957

red=2719, ir=40742, green=726, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.440004

red=2708, ir=40748, green=714, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.451050

red=2716, ir=40752, green=703, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.462346

red=2714, ir=40769, green=713, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.484860

red=2708, ir=40748, green=717, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.484860

red=2715, ir=40748, green=732, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.495635

red=2720, ir=40751, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.508223

red=2692, ir=40756, green=712, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.518536

red=2706, ir=40754, green=707, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.529898

red=2711, ir=40764, green=719, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.541624

red=2698, ir=40743, green=709, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.552615

red=2715, ir=40765, green=714, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.563446

red=2712, ir=40740, green=725, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.574457

red=2719, ir=40747, green=711, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:1.587812

red=2715, ir=40755, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.587812

ed=2716, ir=40760, green=721, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.597916

ed=2716, ir=40751, green=711, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.608872

ed=2703, ir=40739, green=706, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.622256

ed=2717, ir=40766, green=706, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.635582

red=2716, ir=40752, green=706, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.646279

red=2698, ir=40754, green=719, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.657142

ed=2716, ir=40753, green=709, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.667828

ed=2706, ir=40765, green=716, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.679197

ed=2718, ir=40761, green=706, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.689786

ed=2709, ir=40760, green=714, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.700839

ed=2702, ir=40770, green=708, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.715145

red=2709, ir=40770, green=702, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.724058

red=2709, ir=40752, green=714, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.735022

red=2709, ir=40749, green=707, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.745887

red=2713, ir=40749, green=716, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.756636

red=2725, ir=40761, green=707, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.768283

