red=121712, ir=129306, green=1289, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.224236
red=121701, ir=129310, green=12854, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.234952
red=121712, ir=129370, green=12900, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.245185
red=121728, ir=129385, green=12900, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.255382
red=121774, ir=129447, green=12917, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.266390
red=121746, ir=129399, green=12925, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.276759
red=121699, ir=129293, green=12917, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.287676
red=121608, ir=129109, green=12876, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.298204
red=121526, ir=128847, green=12812, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.309194
red=121372, ir=128544, green=12678, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.319540
red=121248, ir=128267, green=12572, HR=83, HRvalid=1, SpO2=99, SO2Valid=1  time:2.340195
red=121129, ir=127996, green=12423, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.350614
red=121018, ir=127759, green=12302, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.361680
red=120941, ir=127540, green=12174, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.372137
red=120878, ir=127408, green=12086, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.382912
red=120849, ir=127330, green=12039, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.393250
red=120819, ir=127262, green=12002, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.403882
red=120814, ir=127281, green=11962, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.413855
red=120848, ir=127304, green=11996, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.424269
red=120882, ir=127403, green=11983, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.435608
red=120909, ir=127483, green=12020, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.445788
red=120946, ir=127587, green=12038, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.456126
red=120994, ir=127662, green=12069, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.467053
red=121026, ir=127749, green=12113, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.477514
red=121061, ir=127808, green=12142, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.488520
red=121065, ir=127865, green=12162, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.499221
red=121110, ir=127913, green=12190, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.509450
red=121113, ir=127966, green=12220, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.519812
red=121152, ir=128000, green=12239, HR=83, HRvalid=1, SpO2=99, SO2Valid=1  time:2.540853
red=121168, ir=128076, green=12253, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.551993
red=121190, ir=128112, green=12272, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.562404
red=121185, ir=128139, green=12294, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.572710
red=121239, ir=128183, green=12316, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.582885
red=121218, ir=128208, green=12327, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.593460
red=121248, ir=128210, green=12338, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.604419
red=121206, ir=128194, green=12350, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.615360
red=121261, ir=128176, green=12346, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.626321
red=121225, ir=128192, green=12345, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.636442
red=121231, ir=128166, green=12322, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.646589
red=121190, ir=128137, green=12308, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.657186
red=121214, ir=128132, green=12315, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.667402
red=121191, ir=128093, green=12309, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.678407
red=121201, ir=128105, green=12302, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.688527
red=121188, ir=128109, green=12298, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.699234
red=121194, ir=128103, green=12298, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.709351
red=121197, ir=128089, green=12305, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.720407
red=121212, ir=128125, green=12292, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.731228
red=121223, ir=128144, green=12328, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.742194
red=121243, ir=128201, green=12320, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.753214
red=121280, ir=128246, green=12340, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.764180
red=121298, ir=128324, green=12366, HR=83, HRvalid=1, SpO2=99, SO2Valid=1  time:2.784705
red=121327, ir=128377, green=12389, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.795258
red=121355, ir=128444, green=12414, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.806447
red=121399, ir=128531, green=12444, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.817637
red=121430, ir=128597, green=12465, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.828412
red=121462, ir=128674, green=12484, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.839349
red=121491, ir=128755, green=12522, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.850378
red=121522, ir=128788, green=12543, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.860730
red=121538, ir=128877, green=12569, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.871043
red=121567, ir=128927, green=12601, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.881740
red=121582, ir=128994, green=12626, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.893099
red=121619, ir=129030, green=12650, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.903903
