red=2298, ir=34017, green=559, H=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.413037
red=2297, ir=33998, green=582, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.428088
red=2306, ir=33998, green=571, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.443380
red=2322, ir=34006, green=579, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.459002
red=2296, ir=33995, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.475170
red=2287, ir=34001, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.490772
red=2307, ir=34006, green=571, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.506695
red=2308, ir=33995, green=579, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.521742
red=2299, ir=34024, green=577, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.538372
red=2299, ir=34004, green=572, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.553697
red=2300, ir=33997, green=562, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.569602
red=2294, ir=33995, green=550, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.584896
red=2303, ir=34000, green=570, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.601070
red=2292, ir=34004, green=561, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.616373
red=2297, ir=33990, green=577, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.631191
red=2292, ir=34018, green=570, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.646593
red=2311, ir=34004, green=568, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.661889
red=2291, ir=34010, green=580, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.676696
red=2302, ir=34005, green=572, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.692885
red=2302, ir=34000, green=560, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.707486
red=2291, ir=34015, green=581, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.723598
red=2299, ir=34001, green=560, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.738423
red=2308, ir=33992, green=567, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.754534
red=2318, ir=34006, green=576, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.769913
red=2295, ir=33999, green=562, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.785428
red=2306, ir=33990, green=568, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.800571
red=2304, ir=33994, green=573, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.815946
red=2305, ir=33996, green=562, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.831408
red=2297, ir=33997, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.847155
red=2308, ir=33993, green=572, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.862330
red=2308, ir=33991, green=573, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.877907
red=2308, ir=33986, green=568, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.892857
red=2294, ir=34019, green=575, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.907775
red=2289, ir=34004, green=575, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.923498
red=2311, ir=33999, green=579, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.939862
red=2297, ir=34008, green=567, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.956164
red=2295, ir=34007, green=578, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.972259
